363274.1992402085;5478728.51293617;theatre;L'Almendra;100
359595.8398287511;5476597.514630878;theatre;ThÃ©atre de la Foudre;100
362048.7014406404;5477949.7342163045;cinema;Omnia RÃ©publique;100
359808.1595185065;5478894.964277233;cinema;PathÃ©;100
361022.20494064223;5478562.365809809;nightclub;L'Anatole Bar;100
357713.6477943991;5479573.4596760245;theatre;Espace Culturel FranÃ§ois Mitterrand;100
365209.18985667324;5477700.6468346985;theatre;L'Ã‰cho du Robec;100
359696.798611886;5481394.986412704;theatre;ThÃ©Ã¢tre du PrÃ©sent;100
360863.5247364841;5478252.550625183;studio;France Bleu Normandie;100
360976.8597849697;5477144.725215447;cinema;Kinepolis;100
362640.3133098086;5478533.509962447;theatre;Chapelle;100
361536.11030917196;5478555.882712769;theatre;Salle Sainte-Croix-des-Pelletiers;100
361626.77231550764;5478037.041447046;nightclub;La Luna;100
362813.4150505063;5477340.343033179;nightclub;Moonwalk;100
362430.727423538;5478520.13933196;bar;L orbe;30
363145.2935036639;5478331.897175102;bar;;30
362155.77698202035;5477884.8077520095;bar;Le MoliÇùre;30
361930.0925762045;5474398.006342172;bar;Bar du Stade;30
362189.91223064915;5477484.235196169;bar;;30
361814.51798438467;5478500.203089923;bar;Les Floralies;30
361617.55244834593;5478296.565018675;bar;Bar Tabac du Gros Horloge;30
360767.2858998635;5478722.305789351;bar;;30
362018.61253333604;5477877.612469113;bar;Le Vandaag;30
361296.6633814651;5478233.2087027095;bar;Le Saint-Ç?loi;30
361603.5268852195;5478199.566789211;bar;Bar de L'Eden;30
360804.2861644478;5478486.954668251;bar;Le P'tit Dalloz;30
363099.63177694415;5478317.02312568;bar;Le Royal;30
362708.67635505856;5478372.559533639;bar;Le Bretagne;30
360474.91948913434;5476660.185979719;bar;Bar Le Deauville;30
360413.4035573603;5476627.128199399;bar;La Civette;30
361835.1181786789;5478516.033810363;bar;Le Socrate;30
361969.26473097806;5478434.2227948075;bar;Bar de la Crosse;30
362556.2386898263;5479203.35586677;bar;Le Jouvenet;30
359221.2379070296;5482991.7877684515;bar;Le Carbos;30
361021.8487149988;5478561.763070705;bar;Anatole Bar;30
361163.685585089;5474697.089247062;bar;Le MaÇ®va;30
361682.3066528564;5474879.737766087;bar;Le Celtique;30
361456.42504276003;5475409.304054507;bar;;30
361413.62750168913;5475410.388210074;bar;;30
362093.7707957097;5475120.9628222445;bar;;30
361408.5434011227;5479420.216169669;bar;;30
364948.9066309894;5472239.872852562;bar;Belbeuf Bar;30
361620.26764902833;5478289.499545716;bar;Le Delirium;30
361426.1821599976;5478415.709023789;bar;Carpe Diem;30
361356.7168385629;5478441.4089234695;bar;L'Euro;30
361376.15685652476;5478435.743280546;bar;Le Matis;30
361420.70403074136;5478419.351868618;bar;Taverne Du Vieux Marche;30
361926.53067381843;5478816.628426753;bar;Bar tabac de la cour Jeanne d'Arc;30
361559.29743015405;5478479.977531808;bar;Le ConquÇ¸rant;30
365637.6983629422;5478259.537685148;bar;Le Robec;30
365685.6384182448;5478098.8747583665;bar;Le Rendez Vous Du Robec;30
365964.67567114066;5479017.684527903;bar;La Girafe;30
361776.3908625947;5472052.192309418;bar;L'Omnisport;30
362538.78254910035;5471557.532794863;bar;CafÇ¸ Jem's;30
362600.7135318885;5471524.477390193;bar;Le Lisbonne;30
367341.0702015655;5473493.957108813;bar;;30
361375.24722401216;5477232.9410527125;bar;Le Lafayette;30
361249.59769759385;5478834.321318505;bar;Dubai Night;30
360583.8944678997;5478876.328158664;bar;L'Argus;30
362288.7658949981;5478260.321644433;bar;Le Son du Cor;30
360617.4582115406;5475851.43484205;bar;Le Trianon;30
360274.3926428056;5473424.963850812;bar;Bar de la CitÇ¸;30
360269.9820370327;5473392.395356214;bar;Le Concorde;30
361211.2214877841;5478272.519590023;bar;Le Comptoir Henri IV;30
361561.07052075467;5477040.0551773645;bar;Le Celta;30
362707.881871311;5478342.379285931;bar;Le Grand Comptoir;30
361944.05348566326;5477845.034569318;bar;La Taverne de Thor;30
361484.444700659;5477568.395939202;bar;;30
362062.78183709714;5478057.254689635;bar;Chester's CafÇ¸;30
362115.53853845544;5478378.983672116;bar;N'Zo CafÇ¸;30
362482.3322863819;5478241.976869283;bar;Vixen;30
361919.0494253774;5478433.878490334;bar;Le QG des Avenjoueurs;30
361285.27756283607;5478502.18803788;bar;CÇïcoon Bar;30
361385.04784958775;5478562.927290378;bar;Le Sacre;30
361482.10250162653;5478299.151172798;bar;Les Berthom;30
361716.3220491117;5477518.73160692;bar;Bar des Archives;30
361581.1114821363;5477357.625416812;bar;Le MÇ¸ditÇ¸rannÇ¸e;30
362123.7653402418;5478212.012359574;bar;Bar Milk;30
362163.8375790396;5478222.814702591;bar;Brazil - Casa das Batidas;30
361280.8817226016;5478195.566593825;cafe;Au Petit Bruxelles;30
361824.3332538458;5478963.762457969;cafe;CafÇ¸ de la Gare;30
361540.4047655718;5478357.240413175;cafe;Au Roy Harold;30
360801.68431517435;5478434.072435109;cafe;Diner's CafÇ¸;30
366469.3891481367;5477085.095284339;cafe;Le jean bart;30
361196.58763921494;5477113.14617828;cafe;Le Palais de la BiÇùre;30
361469.4699974618;5478422.876320116;cafe;JM'S CafÇ¸;30
362171.9429672607;5477903.387885659;cafe;Guidoline;30
362233.45030050736;5479063.454137632;cafe;Moby's cafÇ¸;30
361832.3060326878;5478990.524332359;cafe;Metropole;30
361813.21319500334;5478934.721997373;cafe;Roman de Gare;30
361566.7456484694;5478477.942330265;cafe;Le Rivoli;30
365898.342048702;5478855.211709708;cafe;Le Resto'Flash;30
362002.1488516407;5478379.576650644;cafe;Bar des Fleurs;30
360390.9925218182;5474204.020789157;cafe;Salon de thÇ¸ Le Madrillet;30
362175.0387232088;5477903.6101540355;cafe;Guidoline;30
361759.2320050872;5478253.223686556;cafe;Central;30
365270.3427837312;5477750.49507321;cafe;Le Carville;30
361906.7533091064;5478070.394028101;cafe;Cosy Lunch;30
359128.72708199953;5480106.635700549;cafe;;30
361291.94740608864;5478817.506175121;cafe;O Grand CafÇ¸;30
356999.92261963984;5478245.949127457;cafe;Le Saint-Claude;30
362148.9254076639;5478181.155080663;cafe;CafÇ¸ DessinÇ¸;30
362123.9452577699;5478133.464695041;cafe;L'Empreinte;30
362117.69684105687;5478112.354178063;cafe;La Petite VoÇ¯te;30
362201.0594145494;5478256.069701176;cafe;Le Globe;30
362180.1816877221;5478282.146874285;cafe;Bistro Nova;30
361382.8555821312;5477410.246807289;cafe;Les ChrysanthÇùmes;30
362246.17924346053;5478212.762991893;cafe;Le Bistrot Parisien;30
361477.6196078138;5478179.808765249;cafe;Les Coulisses;30
361422.2608238257;5478233.893462846;cafe;L'Ascot;30
359975.3879986283;5478843.789637828;cafe;L'assiette du Boulanger;30
361501.189870153;5478481.02725062;cafe;Le saint vincent;30
361937.0427178024;5478206.704027226;cafe;Dame Cakes;30
362016.13414213096;5478345.71944622;cafe;Cam's Cakes;30
359900.86739079125;5478672.737106759;cafe;All Sports CafÇ¸;30
361720.4765428491;5478142.557108241;cafe;Le ZÇùbre Çÿ Pois;30
361701.57177394244;5478108.085275819;cafe;Le Tyrol;30
361730.03974435054;5478154.428692148;cafe;Columbus CafÇ¸;30
361532.7319628127;5478147.7333353525;cafe;Le Saint-Saens;30
361971.6768152289;5478387.287308629;cafe;Le P'tit creux;30
